code;mouvt;mois;prod;poids;mod;immat;droit;cfakg;ori;lon_ori;lat_ori;dis_km_ori;dis_mn_ori;des;lon_des;lat_des;dis_km_des;dis_mn_des
149;entrée;2014-07-01;bété bété;21100;camion;iv;1000;2;mankono;-6,1883;8,0556;179;156;mgb;-5,0248;7,6971;0;0
150;sortie;2014-07-01;kpassadjo;35800;gros camion;md;2000;2;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
151;entrée;2014-07-01;oignons;37320;gros camion;ng;2000;0;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
152;entrée;2014-07-01;arachide decortiquée;1760;voiture de transport;iv;0;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
153;entrée;2014-07-01;arachide decortiquée;1300;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
154;entrée;2014-07-01;arachide decortiquée;1220;voiture de transport;iv;0;2;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
155;entrée;2014-07-01;divers;4160;pick-up;iv;500;0;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
156;entrée;2014-07-01;assawa;1120;pick-up;iv;500;2;brobo;-4,8267;7,6407;25;25;mgb;-5,0248;7,6971;0;0
157;entrée;2014-07-01;arachide decortiquée;840;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
158;sortie;2014-07-01;kpassadjo;33700;gros camion;iv;2000;2;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
159;sortie;2014-07-01;arachide decortiquée;34820;gros camion;iv;2000;2;mgb;-5,0248;7,6971;0;0;danané;-8,1537;7,2624;400;492
160;entrée;2014-07-01;koudjan;6460;pick-up;iv;500;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
161;entrée;2014-07-01;kponan;4440;camion;iv;1000;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
162;entrée;2014-07-01;banane plantain;25700;gros camion;iv;2000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
163;entrée;2014-07-01;koudjan;6340;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
164;entrée;2014-07-01;koudjan;6425;pick-up;iv;500;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
165;entrée;2014-07-01;bété bété;860;pick-up;iv;500;0;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
166;entrée;2014-07-01;riz paddy iguapé;2300;pick-up;iv;500;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
167;entrée;2014-07-01;riz paddy iguapé;2340;pick-up;iv;500;2;bamoro;-5,049;7,8315;13;16;mgb;-5,0248;7,6971;0;0
168;sortie;2014-07-01;florido;32680;gros camion;iv;2000;2;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
169;entrée;2014-07-01;bété bété;5940;pick-up;iv;500;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
170;entrée;2014-07-01;wakrou;5100;camion;iv;1000;2;molonoublé;-4,9852;7,4004;42;42;mgb;-5,0248;7,6971;0;0
171;entrée;2014-07-01;oignons;17420;gros camion;iv;2000;0;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
172;entrée;2014-07-01;assawa;4180;pick-up;iv;500;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
173;sortie;2014-07-01;divers;28460;gros camion;iv;2000;0;mgb;-5,0248;7,6971;0;0;san pédro;-6,6206;4,7419;412;473
174;entrée;2014-07-01;riz paddy iguapé;21300;camion;iv;1000;2;hiré;-5,2959;6,1856;174;202;mgb;-5,0248;7,6971;0;0
175;sortie;2014-07-01;florido;32260;gros camion;md;2000;2;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
176;entrée;2014-07-01;koudjan;1700;pick-up;iv;500;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
177;entrée;2014-07-01;koudjan;10640;camion;iv;1000;2;yamoussoukro;-5,2778;6,8194;77;109;mgb;-5,0248;7,6971;0;0
178;entrée;2014-07-01;koudjan;4160;pick-up;iv;500;2;didiévi;-4,893;7,1256;87;75;mgb;-5,0248;7,6971;0;0
179;entrée;2014-07-01;mais grain;40420;remorque;iv;5000;2;ouangolo;-5,157;9,9687;193;271;mgb;-5,0248;7,6971;0;0
180;entrée;2014-07-01;attiéké sec;1300;voiture de transport;iv;0;0;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
181;entrée;2014-07-01;arachide decortiquée;6440;pick-up;iv;500;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
182;entrée;2014-07-01;oignons;37560;gros camion;iv;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
183;entrée;2014-07-01;bété bété;6540;pick-up;iv;500;2;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
184;entrée;2014-07-01;banane plantain;32500;gros camion;iv;2000;0;bonon;-6,05;6,9333;150;197;mgb;-5,0248;7,6971;0;0
185;entrée;2014-07-01;arachide decortiquée;1020;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
186;entrée;2014-07-01;bété bété;5280;pick-up;iv;500;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
187;entrée;2014-07-01;riz paddy iguapé;1640;voiture de transport;iv;0;2;mankono;-6,1883;8,0556;179;156;mgb;-5,0248;7,6971;0;0
188;entrée;2014-07-01;kpassadjo;6640;camion;iv;1000;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
