VALUE,LCZ1,latitude,longitude
"24.39000000,""11"",6.44,3.24"
"24.99000000,""3"",6.82,3.19"
"23.41000000,""9"",6.44,3.06"
"22.01000000,""12"",6.82,3.00"
"23.59000000,""9"",6.44,3.05"
"22.17000000,""12"",6.82,2.99"
"23.33000000,""11"",6.44,3.07"
"22.61000000,""12"",6.82,3.02"
"23.29000000,""11"",6.44,3.06"
"22.43000000,""9"",6.82,3.01"
"23.77000000,""9"",6.44,3.02"
"21.91000000,""12"",6.82,2.97"
"24.09000000,""9"",6.44,3.01"
"21.85000000,""12"",6.82,2.96"
"23.53000000,""9"",6.44,3.04"
"22.29000000,""12"",6.82,2.98"
"23.67000000,""9"",6.44,3.03"
"21.95000000,""12"",6.82,2.97"
"23.21000000,""9"",6.44,3.13"
"22.05000000,""12"",6.82,3.07"
"23.37000000,""11"",6.44,3.12"
"21.93000000,""12"",6.82,3.06"
"23.47000000,""11"",6.44,3.15"
"22.27000000,""12"",6.82,3.09"
"23.13000000,""11"",6.44,3.14"
"22.17000000,""12"",6.82,3.08"
"23.29000000,""11"",6.44,3.09"
"21.89000000,""12"",6.82,3.04"
"23.27000000,""11"",6.44,3.08"
"22.21000000,""12"",6.82,3.03"
"23.55000000,""11"",6.44,3.11"
"21.69000000,""11"",6.82,3.06"
"23.49000000,""11"",6.44,3.10"
"21.71000000,""12"",6.82,3.05"
"24.27000000,""6"",6.44,2.91"
"24.49000000,""6"",6.44,2.90"
"24.27000000,""6"",6.44,2.93"
"24.33000000,""9"",6.44,2.92"
"24.51000000,""6"",6.44,2.89"
"24.53000000,""6"",6.44,2.98"
"21.65000000,""12"",6.82,2.93"
"24.27000000,""6"",6.44,2.97"
"22.03000000,""12"",6.82,2.92"
"24.05000000,""6"",6.44,3.00"
"22.01000000,""12"",6.82,2.95"
"24.07000000,""6"",6.44,2.99"
"21.85000000,""12"",6.82,2.94"
"24.29000000,""6"",6.44,2.95"
"22.09000000,""12"",6.82,2.89"
"24.13000000,""6"",6.44,2.94"
"24.01000000,""6"",6.44,2.97"
"21.91000000,""11"",6.82,2.91"
"24.33000000,""6"",6.44,2.96"
"21.85000000,""12"",6.82,2.90"
"21.83000000,""12"",6.83,3.70"
"21.81000000,""11"",6.83,3.69"
"21.83000000,""12"",6.83,3.72"
"21.83000000,""14"",6.83,3.71"
"23.57000000,""9"",6.44,3.72"
"22.05000000,""9"",6.83,3.67"
"24.01000000,""9"",6.44,3.71"
"23.21000000,""6"",6.83,3.66"
"21.73000000,""11"",6.83,3.69"
"23.81000000,""9"",6.44,3.73"
"21.95000000,""9"",6.83,3.68"
"21.87000000,""11"",6.83,3.73"
"23.87000000,""6"",6.44,3.61"
"21.63000000,""11"",6.83,3.56"
"23.85000000,""9"",6.44,3.60"
"21.89000000,""11"",6.83,3.55"
"23.75000000,""9"",6.44,3.63"
"21.79000000,""11"",6.83,3.58"
"23.71000000,""14"",6.44,3.62"
"21.71000000,""11"",6.83,3.57"
"23.75000000,""6"",6.44,3.58"
"22.15000000,""9"",6.83,3.52"
"23.95000000,""6"",6.44,3.57"
"21.87000000,""9"",6.83,3.51"
"23.75000000,""14"",6.44,3.60"
"22.25000000,""11"",6.83,3.54"
"23.51000000,""6"",6.44,3.59"
"22.39000000,""11"",6.83,3.53"
"23.51000000,""9"",6.44,3.69"
"24.55000000,""6"",6.83,3.63"
"23.53000000,""9"",6.44,3.68"
"23.49000000,""6"",6.83,3.62"
"23.75000000,""9"",6.44,3.70"
"23.69000000,""3"",6.83,3.65"
"23.59000000,""9"",6.44,3.69"
"24.41000000,""3"",6.83,3.64"
"23.55000000,""9"",6.44,3.65"
"21.67000000,""11"",6.83,3.60"
"23.75000000,""9"",6.44,3.64"
"21.71000000,""11"",6.83,3.59"
"23.63000000,""6"",6.44,3.67"
"22.71000000,""6"",6.83,3.61"
"23.59000000,""6"",6.44,3.66"
"21.65000000,""12"",6.83,3.60"
"24.19000000,""8"",6.44,3.47"
"23.57000000,""9"",6.83,3.42"
"24.23000000,""3"",6.44,3.46"
"23.09000000,""9"",6.83,3.41"
"23.47000000,""6"",6.44,3.49"
"24.07000000,""6"",6.83,3.43"
"23.97000000,""3"",6.44,3.48"
"23.99000000,""6"",6.83,3.42"
"25.09000000,""8"",6.44,3.43"
"21.89000000,""11"",6.83,3.38"
"25.23000000,""8"",6.44,3.42"
"22.01000000,""9"",6.83,3.37"
"24.35000000,""17"",6.44,3.45"
"23.01000000,""9"",6.83,3.40"
"24.85000000,""3"",6.44,3.44"
"22.71000000,""9"",6.83,3.39"
"23.87000000,""8"",6.44,3.54"
"22.57000000,""6"",6.83,3.49"
"23.95000000,""6"",6.44,3.53"
"22.69000000,""9"",6.83,3.48"
"24.37000000,""6"",6.44,3.56"
"22.17000000,""9"",6.83,3.51"
"24.01000000,""3"",6.44,3.55"
"22.33000000,""9"",6.83,3.50"
"23.69000000,""8"",6.44,3.51"
"23.83000000,""6"",6.83,3.45"
"23.55000000,""6"",6.44,3.50"
"24.01000000,""6"",6.83,3.44"
"23.97000000,""3"",6.44,3.52"
"22.67000000,""9"",6.83,3.47"
"24.07000000,""3"",6.44,3.51"
"23.13000000,""6"",6.83,3.46"
